scope,symbol,factory_id,n_supporting_rows,observation_kinds,status
engine_wide,a_fin,,0,,INSUFFICIENT
engine_wide,b_fin,,0,,INSUFFICIENT
engine_wide,a_wri,,41,element_observation,SUFFICIENT
engine_wide,b_wri,,41,element_observation,SUFFICIENT
engine_wide,a_arm,,70,element_observation,SUFFICIENT
engine_wide,b_arm,,70,element_observation,SUFFICIENT
engine_wide,D_trunk_mm,,0,,INSUFFICIENT
engine_wide,c_lean,,0,,INSUFFICIENT
engine_wide,g_0,,40,element_observation,SUFFICIENT
engine_wide,g_ply,,16,element_observation,SUFFICIENT
engine_wide,gamma_ply,,0,,INSUFFICIENT
engine_wide,g_bundle,,0,,INSUFFICIENT
engine_wide,kappa_m,,81,element_observation,SUFFICIENT
engine_wide,m_ref_g,,81,element_observation,SUFFICIENT
engine_wide,a_steer,,91,"element_observation,seam_observation",SUFFICIENT
engine_wide,b_steer,,91,"element_observation,seam_observation",SUFFICIENT
engine_wide,k_R,,82,seam_observation,SUFFICIENT
engine_wide,R_ref_mm,,82,seam_observation,SUFFICIENT
engine_wide,k_theta,,0,,INSUFFICIENT
engine_wide,epsilon_bi,,16,element_observation,SUFFICIENT
engine_wide,t_look,,8,element_observation,SUFFICIENT
engine_wide,phi_limp,,0,,INSUFFICIENT
engine_wide,phi_slip,,0,,INSUFFICIENT
engine_wide,phi_bulk,,0,,INSUFFICIENT
engine_wide,Phi_min,,0,,INSUFFICIENT
engine_wide,Phi_max,,0,,INSUFFICIENT
engine_wide,D_match_mm,,0,,INSUFFICIENT
engine_wide,L_grip_cm,,0,,INSUFFICIENT
engine_wide,n_throat_aim,,0,,INSUFFICIENT
engine_wide,fold_tolerance_frac,,9,element_observation,SUFFICIENT
engine_wide,k_ease,,0,,INSUFFICIENT
engine_wide,a_up,,82,seam_observation,SUFFICIENT
engine_wide,a_dn,,82,seam_observation,SUFFICIENT
engine_wide,t_correct,,0,,INSUFFICIENT
engine_wide,theta_drift,,0,,INSUFFICIENT
engine_wide,t_pivot,,0,,INSUFFICIENT
engine_wide,t_endstop,,102,"cycle_observation,seam_observation",SUFFICIENT
engine_wide,t_trim_auto,,102,"cycle_observation,seam_observation",SUFFICIENT
engine_wide,t_trim_manual,,0,,INSUFFICIENT
engine_wide,eta_set,,102,"cycle_observation,seam_observation",SUFFICIENT
engine_wide,eta_ply,,29,seam_observation,SUFFICIENT
factory:SYN-FACTORY-1,B_ref,SYN-FACTORY-1,0,environment.measured_*,INSUFFICIENT
factory:SYN-FACTORY-1,MIU_ref,SYN-FACTORY-1,0,environment.measured_*,INSUFFICIENT
factory:SYN-FACTORY-1,t_ref_mm,SYN-FACTORY-1,0,environment.measured_*,INSUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
operator,Gamma_skill,SYN-FACTORY-1,25,any,SUFFICIENT
