observation_id,kind,factory_id,operator_id,observed_s,predicted_s,resid_s,log_resid,abs_pct_error
SYN-SYN-FACTORY-1-00001,element_observation,SYN-FACTORY-1,OP1,1.6375,1.5333054745229386,0.10419452547706132,0.06574484265477253,6.363024456614432
SYN-SYN-FACTORY-1-00002,cycle_observation,SYN-FACTORY-1,OP1,2.049,1.859,0.18999999999999995,0.0973131605174558,9.272816007808684
SYN-SYN-FACTORY-1-00003,seam_observation,SYN-FACTORY-1,OP1,5.8043,6.224456173697296,-0.4201561736972961,-0.0698870547026333,7.23870533392995
SYN-SYN-FACTORY-1-00004,seam_observation,SYN-FACTORY-1,OP1,4.5069,4.446681418410017,0.06021858158998317,0.01345148645697336,1.33614195100808
SYN-SYN-FACTORY-1-00005,seam_observation,SYN-FACTORY-1,OP1,9.9931,8.252176683035305,1.740923316964695,0.1914178489197295,17.421253834792957
SYN-SYN-FACTORY-1-00006,seam_observation,SYN-FACTORY-1,OP1,3.7902,3.540792099751667,0.24940790024833293,0.06806832904275531,6.580336136571498
SYN-SYN-FACTORY-1-00007,element_observation,SYN-FACTORY-1,OP1,1.5483,1.5333054745229386,0.014994525477061371,0.009731708968156734,0.9684509124240374
SYN-SYN-FACTORY-1-00008,seam_observation,SYN-FACTORY-1,OP1,4.4669,4.646864676492579,-0.1799646764925793,-0.03949807333145293,4.028849459190475
SYN-SYN-FACTORY-1-00009,element_observation,SYN-FACTORY-1,OP1,3.3111,2.8899406527308096,0.4211593472691906,0.13604449393858736,12.719620285379197
SYN-SYN-FACTORY-1-00010,element_observation,SYN-FACTORY-1,OP1,1.9043,2.066600412113089,-0.1623004121130891,-0.08179045723145574,8.52283842425506
SYN-SYN-FACTORY-1-00011,element_observation,SYN-FACTORY-1,OP1,3.0394,2.7240051044031586,0.31539489559684153,0.10955686536873027,10.376880160454087
SYN-SYN-FACTORY-1-00012,seam_observation,SYN-FACTORY-1,OP1,5.6303,5.912073125295852,-0.2817731252958522,-0.048833825830157766,5.004584574460547
SYN-SYN-FACTORY-1-00013,seam_observation,SYN-FACTORY-1,OP1,3.9562,3.8167691582954792,0.1394308417045207,0.035879673926381285,3.5243628154421085
SYN-SYN-FACTORY-1-00014,seam_observation,SYN-FACTORY-1,OP1,5.8571,5.644001665979402,0.2130983340205983,0.03706127138145658,3.6382908610165154
SYN-SYN-FACTORY-1-00015,seam_observation,SYN-FACTORY-1,OP1,8.1819,9.287088543468995,-1.1051885434689943,-0.12670070939692366,13.507724898483167
SYN-SYN-FACTORY-1-00016,seam_observation,SYN-FACTORY-1,OP1,6.5369,6.5232029048252445,0.013697095174755702,0.0020975485869458793,0.20953502692033993
SYN-SYN-FACTORY-1-00017,element_observation,SYN-FACTORY-1,OP1,1.8985,2.066600412113089,-0.16810041211308913,-0.0848408435243697,8.854380411540117
SYN-SYN-FACTORY-1-00018,element_observation,SYN-FACTORY-1,OP1,1.4154,1.5333054745229386,-0.11790547452293865,-0.08001366921295003,8.330187545777775
SYN-SYN-FACTORY-1-00019,seam_observation,SYN-FACTORY-1,OP1,7.3159,6.487061156548583,0.8288388434514173,0.12024046002242599,11.329280655167748
SYN-SYN-FACTORY-1-00020,element_observation,SYN-FACTORY-1,OP1,1.2679,1.2058292396245278,0.06207076037547221,0.05019449262305258,4.895556461508968
SYN-SYN-FACTORY-1-00021,element_observation,SYN-FACTORY-1,OP1,2.0415,2.2696173274685214,-0.2281173274685213,-0.10592640729721488,11.174005754029944
SYN-SYN-FACTORY-1-00022,element_observation,SYN-FACTORY-1,OP1,1.4989,1.5333054745229386,-0.03440547452293874,-0.022694340118084334,2.295381581355577
SYN-SYN-FACTORY-1-00023,seam_observation,SYN-FACTORY-1,OP1,9.5374,8.927520684253274,0.6098793157467259,0.0660821942295131,6.394607710138255
SYN-SYN-FACTORY-1-00024,seam_observation,SYN-FACTORY-1,OP1,6.8218,7.107884238635162,-0.2860842386351621,-0.04108125744185642,4.193676722201796
SYN-SYN-FACTORY-1-00025,element_observation,SYN-FACTORY-1,OP1,2.012,2.066600412113089,-0.05460041211308919,-0.026775691976596894,2.7137381765948905
SYN-SYN-FACTORY-1-00026,seam_observation,SYN-FACTORY-1,OP2,3.2405,3.493039960310278,-0.25253996031027803,-0.07504476698535516,7.793240558872953
SYN-SYN-FACTORY-1-00027,element_observation,SYN-FACTORY-1,OP2,2.052,2.066600412113089,-0.014600412113089156,-0.007090016905566559,0.7115210581427464
SYN-SYN-FACTORY-1-00028,element_observation,SYN-FACTORY-1,OP2,2.4451,2.622798140532816,-0.17769814053281596,-0.07015571855848415,7.267520368607254
SYN-SYN-FACTORY-1-00029,element_observation,SYN-FACTORY-1,OP2,1.6349,2.066600412113089,-0.4317004121130892,-0.23432330381485994,26.405309934129868
SYN-SYN-FACTORY-1-00030,element_observation,SYN-FACTORY-1,OP2,0.7467,0.7112396531408285,0.03546034685917154,0.04865406013634534,4.748941590889452
SYN-SYN-FACTORY-1-00031,seam_observation,SYN-FACTORY-1,OP2,3.956,3.642732700079874,0.3132672999201258,0.08249927199727818,7.918789178971836
SYN-SYN-FACTORY-1-00032,seam_observation,SYN-FACTORY-1,OP2,8.0816,8.568446574979648,-0.4868465749796478,-0.05849658031832808,6.024136000045137
SYN-SYN-FACTORY-1-00033,element_observation,SYN-FACTORY-1,OP2,2.7264,2.8899406527308096,-0.16354065273080964,-0.058253908873364166,5.998410091358922
SYN-SYN-FACTORY-1-00034,element_observation,SYN-FACTORY-1,OP2,2.9916,2.8899406527308096,0.10165934726919046,0.03457239480915185,3.3981597562906294
SYN-SYN-FACTORY-1-00035,seam_observation,SYN-FACTORY-1,OP2,6.2029,7.659382207235196,-1.4564822072351964,-0.21091440407362722,23.480665611813773
SYN-SYN-FACTORY-1-00036,seam_observation,SYN-FACTORY-1,OP2,5.9305,6.197469496149728,-0.266969496149728,-0.04403253646739037,4.501635547588364
SYN-SYN-FACTORY-1-00037,seam_observation,SYN-FACTORY-1,OP2,3.4783,4.192250042831974,-0.713950042831974,-0.1866939241805724,20.525832815800076
SYN-SYN-FACTORY-1-00038,element_observation,SYN-FACTORY-1,OP2,1.6016,1.5333054745229386,0.06829452547706127,0.043577283706321614,4.264143698617713
SYN-SYN-FACTORY-1-00039,element_observation,SYN-FACTORY-1,OP2,2.3508,2.0749513658572574,0.27584863414274263,0.12481798048945496,11.734245114120412
SYN-SYN-FACTORY-1-00040,seam_observation,SYN-FACTORY-1,OP2,4.128,4.586199975454164,-0.45819997545416413,-0.10525876094338135,11.09980560693227
SYN-SYN-FACTORY-1-00041,element_observation,SYN-FACTORY-1,OP2,2.4806,2.7040386482133583,-0.22343864821335835,-0.08624598465779486,9.007443691581003
SYN-SYN-FACTORY-1-00042,cycle_observation,SYN-FACTORY-1,OP2,1.6617,1.859,-0.19730000000000003,-0.11219753401427614,11.873382680387557
SYN-SYN-FACTORY-1-00043,seam_observation,SYN-FACTORY-1,OP2,11.9263,8.692828897530857,3.2334711024691423,0.31624762439177223,27.11210603849595
SYN-SYN-FACTORY-1-00044,cycle_observation,SYN-FACTORY-1,OP2,1.6669,1.859,-0.19209999999999994,-0.10907309477240167,11.524386585877973
SYN-SYN-FACTORY-1-00045,element_observation,SYN-FACTORY-1,OP2,1.8239,2.1149923513351108,-0.2910923513351107,-0.14807413051386856,15.959885483585213
SYN-SYN-FACTORY-1-00046,seam_observation,SYN-FACTORY-1,OP2,3.4507,3.2931699193900394,0.15753008060996043,0.046726506770702315,4.5651630280801125
SYN-SYN-FACTORY-1-00047,seam_observation,SYN-FACTORY-1,OP2,4.6129,5.501789967447771,-0.8888899674477715,-0.17621676144455858,19.269656126249682
SYN-SYN-FACTORY-1-00048,element_observation,SYN-FACTORY-1,OP2,2.8214,2.8899406527308096,-0.06854065273080945,-0.02400275086795878,2.429313558191304
SYN-SYN-FACTORY-1-00049,seam_observation,SYN-FACTORY-1,OP2,4.6159,4.362268587638677,0.25363141236132325,0.0565146248848897,5.494733689233373
SYN-SYN-FACTORY-1-00050,cycle_observation,SYN-FACTORY-1,OP2,1.6283,1.859,-0.2306999999999999,-0.13250218295126934,14.168150832156229
SYN-SYN-FACTORY-1-00051,element_observation,SYN-FACTORY-1,OP3,2.4896,2.643564921500069,-0.15396492150006935,-0.06000630030799436,6.184323646371681
SYN-SYN-FACTORY-1-00052,seam_observation,SYN-FACTORY-1,OP3,6.9656,5.923448922615832,1.042151077384168,0.16206488099532182,14.961397114163432
SYN-SYN-FACTORY-1-00053,element_observation,SYN-FACTORY-1,OP3,1.0326,1.1600321465099581,-0.12743214650995816,-0.1163678237794617,12.34090126960664
SYN-SYN-FACTORY-1-00054,element_observation,SYN-FACTORY-1,OP3,0.909,1.100058431542037,-0.19105843154203694,-0.19077348278185788,21.01852932255632
SYN-SYN-FACTORY-1-00055,cycle_observation,SYN-FACTORY-1,OP3,2.1155,1.859,0.25649999999999995,0.12925248243867804,12.124793193098556
SYN-SYN-FACTORY-1-00056,seam_observation,SYN-FACTORY-1,OP3,4.8902,4.540871369435206,0.349328630564794,0.07411427721550544,7.1434426110341915
SYN-SYN-FACTORY-1-00057,element_observation,SYN-FACTORY-1,OP3,0.2289,0.22036876784875542,0.008531232151244572,0.037982866396439496,3.7270564225620673
SYN-SYN-FACTORY-1-00058,seam_observation,SYN-FACTORY-1,OP3,6.789,5.3926566688626485,1.3963433311373512,0.23026550335649337,20.56773208333114
SYN-SYN-FACTORY-1-00059,element_observation,SYN-FACTORY-1,OP3,0.6783,0.7112396531408285,-0.03293965314082847,-0.04741976995327683,4.856207156247748
SYN-SYN-FACTORY-1-00060,element_observation,SYN-FACTORY-1,OP3,2.3282,2.2645958963506905,0.06360410364930935,0.027699106021557902,2.731900337140682
SYN-SYN-FACTORY-1-00061,element_observation,SYN-FACTORY-1,OP3,2.031,2.2088765169016646,-0.1778765169016645,-0.08395574027802284,8.758075672164672
SYN-SYN-FACTORY-1-00062,element_observation,SYN-FACTORY-1,OP3,0.2126,0.22036876784875542,-0.007768767848755409,-0.035889894654233846,3.6541711424061187
SYN-SYN-FACTORY-1-00063,seam_observation,SYN-FACTORY-1,OP3,3.6911,3.4681752543676136,0.2229247456323864,0.06229592426006248,6.039520620746834
SYN-SYN-FACTORY-1-00064,element_observation,SYN-FACTORY-1,OP3,0.8488,0.7112396531408285,0.1375603468591715,0.17681414939446272,16.206449912720487
SYN-SYN-FACTORY-1-00065,element_observation,SYN-FACTORY-1,OP3,2.52,2.6816741579274255,-0.16167415792742545,-0.06218238375829787,6.415641187596248
SYN-SYN-FACTORY-1-00066,seam_observation,SYN-FACTORY-1,OP3,8.3745,7.084295104278342,1.290204895721657,0.16731099752373307,15.406351372877868
SYN-SYN-FACTORY-1-00067,seam_observation,SYN-FACTORY-1,OP3,7.5273,7.50692576582085,0.020374234179150186,0.0027103818938496067,0.27067121250847165
SYN-SYN-FACTORY-1-00068,element_observation,SYN-FACTORY-1,OP3,3.325,2.7222791456383897,0.6027208543616105,0.2000002234693063,18.12694298831911
SYN-SYN-FACTORY-1-00069,element_observation,SYN-FACTORY-1,OP3,1.9751,2.066600412113089,-0.09150041211308912,-0.04528591423141459,4.632697691918845
SYN-SYN-FACTORY-1-00070,element_observation,SYN-FACTORY-1,OP3,1.0661,1.251105205489519,-0.18500520548951904,-0.16002019508844173,17.353457038694213
SYN-SYN-FACTORY-1-00071,element_observation,SYN-FACTORY-1,OP3,1.571,1.2015640856175742,0.36943591438242573,0.2680882464927177,23.515971634782034
SYN-SYN-FACTORY-1-00072,seam_observation,SYN-FACTORY-1,OP3,8.7629,9.752344860634086,-0.9894448606340855,-0.10698085422961952,11.291294669961834
SYN-SYN-FACTORY-1-00073,seam_observation,SYN-FACTORY-1,OP3,3.8669,3.287767011097512,0.5791329889024879,0.16224453813970385,14.976673534420023
SYN-SYN-FACTORY-1-00074,seam_observation,SYN-FACTORY-1,OP3,8.1884,7.845697954264051,0.3427020457359484,0.042753168317997095,4.185213787015149
SYN-SYN-FACTORY-1-00075,seam_observation,SYN-FACTORY-1,OP3,6.1084,4.504080539522804,1.6043194604771953,0.30468110064255555,26.264151995239267
SYN-SYN-FACTORY-1-00076,element_observation,SYN-FACTORY-1,OP4,2.1633,2.162258899275399,0.0010411007246009518,0.0004813716650022277,0.04812558242504284
SYN-SYN-FACTORY-1-00077,seam_observation,SYN-FACTORY-1,OP4,8.1966,6.249444144572729,1.9471558554272708,0.2712269112145304,23.7556530198774
SYN-SYN-FACTORY-1-00078,element_observation,SYN-FACTORY-1,OP4,0.2679,0.22036876784875542,0.04753123215124461,0.19531141598848162,17.742154591729975
SYN-SYN-FACTORY-1-00079,element_observation,SYN-FACTORY-1,OP4,2.6251,2.8899406527308096,-0.26484065273080937,-0.09611697597014647,10.088783388473175
SYN-SYN-FACTORY-1-00080,seam_observation,SYN-FACTORY-1,OP4,6.4699,7.133256283442308,-0.6633562834423081,-0.09760717947194456,10.252960377166696
SYN-SYN-FACTORY-1-00081,element_observation,SYN-FACTORY-1,OP4,2.9415,2.782568009975465,0.15893199002453517,0.05554540941381277,5.403093320568933
SYN-SYN-FACTORY-1-00082,element_observation,SYN-FACTORY-1,OP4,1.0073,1.1209979722467054,-0.1136979722467053,-0.10694585124294578,11.287399210434359
SYN-SYN-FACTORY-1-00083,element_observation,SYN-FACTORY-1,OP4,2.4181,2.5823649156448116,-0.16426491564481172,-0.06572350522159857,6.7931398885410745
SYN-SYN-FACTORY-1-00084,seam_observation,SYN-FACTORY-1,OP4,6.4637,6.105784773875012,0.3579152261249883,0.056965263860086046,5.537311851184125
SYN-SYN-FACTORY-1-00085,seam_observation,SYN-FACTORY-1,OP4,4.151,4.5144790540502635,-0.3634790540502637,-0.08394052997839636,8.756421441827602
SYN-SYN-FACTORY-1-00086,element_observation,SYN-FACTORY-1,OP4,2.9008,2.066600412113089,0.8341995878869106,0.33908161680435983,28.757569907849927
